Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
71,Josh Giddey,23,CHI,PG,15,15,511,20.2,.571,.293,.397,4.9,24.2,15.0,40.7,1.4,1.1,16.7,26.1,0.8,0.5,1.3,.120,2.9,0.4,3.4,0.7,,giddejo01
72,Cedric Coward,22,MEM,SG,19,6,510,16.2,.605,.466,.312,5.7,18.2,11.9,16.1,1.2,1.3,10.4,19.5,0.8,0.5,1.3,.123,1.5,0.0,1.5,0.5,,cowarce01
73,Jeremiah Fears,19,NOP,PG,19,17,508,13.9,.536,.259,.230,2.6,11.5,6.7,16.6,2.8,0.6,14.1,25.5,-0.2,0.2,0.0,-0.004,-1.9,-1.5,-3.4,-0.2,,fearsje01
74,Austin Reaves,27,LAL,SG,14,14,508,24.1,.652,.444,.548,3.0,15.2,9.4,30.0,1.9,0.2,13.1,29.1,1.8,0.5,2.3,.217,5.0,0.0,5.0,0.9,,reaveau01
75,Kevin Durant,37,HOU,SF,14,14,505,18.1,.608,.276,.418,1.1,13.6,7.4,13.7,1.4,1.8,12.9,26.5,1.1,0.6,1.6,.156,1.6,-0.2,1.3,0.4,,duranke01
76,Santi Aldama,25,MEM,PF,19,2,504,17.2,.552,.411,.192,6.0,20.8,13.3,17.1,1.8,2.8,8.1,21.3,0.4,0.6,1.1,.101,1.7,0.8,2.6,0.6,,aldamsa01
77,Nic Claxton,26,BRK,C,17,17,504,20.2,.606,.038,.560,10.4,19.2,14.5,23.0,1.2,4.3,10.8,18.9,1.3,0.2,1.5,.145,1.9,0.6,2.5,0.6,,claxtni01
78,CJ McCollum,34,WAS,SG,17,17,504,15.1,.568,.484,.208,2.3,9.4,5.9,17.4,1.1,0.7,8.4,24.7,0.5,-0.1,0.4,.035,1.0,-3.1,-2.1,0.0,,mccolcj01
79,Jarace Walker,22,IND,PF,18,10,503,7.6,.470,.500,.236,2.6,18.2,9.9,13.8,1.1,1.4,16.3,19.5,-0.8,0.4,-0.4,-0.039,-3.8,-1.1,-4.9,-0.4,,walkeja02
80,Naji Marshall,28,DAL,SF,19,1,502,14.1,.600,.385,.541,2.7,16.3,9.6,13.4,2.0,0.3,11.2,17.1,0.6,0.8,1.3,.127,-1.3,1.5,0.2,0.3,,marshna01
81,Jaren Jackson Jr.,26,MEM,C,17,17,499,13.9,.571,.361,.295,3.6,15.8,9.6,9.2,1.0,3.8,11.4,25.5,0.0,0.5,0.5,.050,-1.6,-0.4,-2.0,0.0,,jacksja02
82,Jabari Smith Jr.,22,HOU,PF,15,15,499,14.0,.566,.475,.208,5.0,17.5,11.3,7.4,1.2,2.4,7.4,17.8,0.9,0.6,1.5,.145,0.4,0.2,0.6,0.3,,smithja05
83,Stephen Curry,37,GSW,PG,16,16,497,22.8,.641,.619,.277,1.1,12.0,6.5,24.6,2.0,1.6,12.6,33.8,0.9,0.6,1.5,.144,6.1,-0.5,5.7,0.9,,curryst01
84,Jaylen Wells,22,MEM,SG,19,19,496,10.4,.524,.532,.188,4.6,9.4,7.0,9.9,1.2,0.2,6.1,17.9,0.2,0.3,0.5,.047,-2.1,-1.2,-3.3,-0.2,,wellsja01
85,Saddiq Bey,26,NOP,SF,18,10,496,15.2,.544,.532,.231,6.9,16.6,11.4,11.7,1.8,0.2,5.1,18.1,0.7,0.1,0.8,.079,1.6,-2.0,-0.4,0.2,,beysa01
86,Collin Gillespie,26,PHO,PG,19,1,493,17.0,.588,.654,.130,4.3,13.4,8.8,28.0,2.3,1.2,14.1,19.2,1.0,0.6,1.6,.157,2.9,0.7,3.6,0.7,,gilleco01
87,Draymond Green,35,GSW,PF,17,17,493,8.9,.517,.581,.147,3.3,19.2,11.2,28.8,1.4,2.7,28.6,16.5,-0.4,0.6,0.2,.022,-3.3,1.5,-1.7,0.0,,greendr01
88,Nikola Vučević,35,CHI,C,16,16,490,17.4,.590,.379,.131,8.0,23.9,16.3,16.6,0.9,1.2,10.7,21.4,0.7,0.4,1.1,.105,1.4,-0.7,0.7,0.3,,vucevni01
89,Herbert Jones,27,NOP,SF,16,16,484,7.9,.503,.489,.163,3.2,11.3,6.9,10.6,2.3,0.9,14.7,15.2,-0.2,0.1,-0.1,-0.011,-4.2,-1.0,-5.2,-0.4,,joneshe01
